1, plains, modern_beta:alpha, MONSTER, minecraft:spider, 60, 4, 4
36, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 60, 4, 4
37, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 60, 4, 4
38, badlands, minecraft:badlands, MONSTER, minecraft:slime, 60, 4, 4
39, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 5, 1, 4
40, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
41, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
42, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
43, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 60, 4, 4
44, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 60, 4, 4
45, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 10, 1, 1
46, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 60, 4, 4
47, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 60, 4, 4
48, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 60, 4, 4
49, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 5, 1, 4
50, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
51, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 10, 1, 1
52, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 20, 4, 4
53, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 20, 4, 4
54, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 20, 4, 4
55, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 20, 4, 4
56, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 20, 4, 4
57, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
58, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 60, 1, 2
59, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
60, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
61, nether, minecraft:basalt_deltas, MONSTER, minecraft:ghast, 40, 1, 1
62, nether, minecraft:basalt_deltas, MONSTER, minecraft:magma_cube, 60, 2, 5
63, nether, minecraft:basalt_deltas, MONSTER, minecraft:zombified_piglin, 10, 1, 4
64, nether, minecraft:basalt_deltas, CREATURE, minecraft:strider, 60, 1, 2
65, beach, minecraft:beach, MONSTER, minecraft:spider, 60, 4, 4
66, beach, minecraft:beach, MONSTER, minecraft:zombie, 60, 4, 4
67, beach, minecraft:beach, MONSTER, minecraft:zombie_villager, 10, 1, 1
68, beach, minecraft:beach, MONSTER, minecraft:skeleton, 60, 4, 4
69, beach, minecraft:beach, MONSTER, minecraft:creeper, 60, 4, 4
70, beach, minecraft:beach, MONSTER, minecraft:slime, 60, 4, 4
71, beach, minecraft:beach, MONSTER, minecraft:enderman, 5, 1, 4
72, beach, minecraft:beach, MONSTER, minecraft:witch, 5, 1, 1
73, beach, minecraft:beach, CREATURE, minecraft:turtle, 10, 2, 5
74, beach, minecraft:beach, AMBIENT, minecraft:bat, 10, 8, 8
75, beach, minecraft:beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
76, ocean, modern_beta:beta_cold_ocean, MONSTER, minecraft:spider, 60, 4, 4
77, ocean, modern_beta:beta_cold_ocean, MONSTER, minecraft:zombie, 60, 4, 4
78, ocean, modern_beta:beta_cold_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
79, ocean, modern_beta:beta_cold_ocean, MONSTER, minecraft:skeleton, 60, 4, 4
60, ocean, modern_beta:beta_cold_ocean, MONSTER, minecraft:creeper, 60, 4, 4
81, ocean, modern_beta:beta_cold_ocean, MONSTER, minecraft:slime, 60, 4, 4
82, ocean, modern_beta:beta_cold_ocean, MONSTER, minecraft:enderman, 5, 1, 4
83, ocean, modern_beta:beta_cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
84, ocean, modern_beta:beta_cold_ocean, MONSTER, minecraft:drowned, 10, 1, 1
85, ocean, modern_beta:beta_cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
86, ocean, modern_beta:beta_cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
87, ocean, modern_beta:beta_cold_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
88, ocean, modern_beta:beta_cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
89, ocean, modern_beta:beta_cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
90, desert, modern_beta:beta_desert, MONSTER, minecraft:spider, 60, 4, 4
91, desert, modern_beta:beta_desert, MONSTER, minecraft:zombie, 19, 4, 4
92, desert, modern_beta:beta_desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
93, desert, modern_beta:beta_desert, MONSTER, minecraft:skeleton, 60, 4, 4
94, desert, modern_beta:beta_desert, MONSTER, minecraft:creeper, 60, 4, 4
95, desert, modern_beta:beta_desert, MONSTER, minecraft:slime, 60, 4, 4
96, desert, modern_beta:beta_desert, MONSTER, minecraft:enderman, 5, 1, 4
97, desert, modern_beta:beta_desert, MONSTER, minecraft:witch, 5, 1, 1
98, desert, modern_beta:beta_desert, MONSTER, minecraft:husk, 60, 4, 4
99, desert, modern_beta:beta_desert, CREATURE, minecraft:rabbit, 10, 2, 3
100, desert, modern_beta:beta_desert, AMBIENT, minecraft:bat, 10, 8, 8
101, desert, modern_beta:beta_desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
102, desert, modern_beta:beta_desert, WATER_CREATURE, minecraft:squid, 10, 1, 4
103, forest, modern_beta:beta_forest, MONSTER, minecraft:spider, 60, 4, 4
104, forest, modern_beta:beta_forest, MONSTER, minecraft:zombie, 60, 4, 4
105, forest, modern_beta:beta_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
106, forest, modern_beta:beta_forest, MONSTER, minecraft:skeleton, 60, 4, 4
107, forest, modern_beta:beta_forest, MONSTER, minecraft:creeper, 60, 4, 4
108, forest, modern_beta:beta_forest, MONSTER, minecraft:slime, 60, 4, 4
109, forest, modern_beta:beta_forest, MONSTER, minecraft:enderman, 5, 1, 4
110, forest, modern_beta:beta_forest, MONSTER, minecraft:witch, 5, 1, 1
111, forest, modern_beta:beta_forest, CREATURE, minecraft:sheep, 20, 4, 4
112, forest, modern_beta:beta_forest, CREATURE, minecraft:pig, 20, 4, 4
113, forest, modern_beta:beta_forest, CREATURE, minecraft:chicken, 20, 4, 4
114, forest, modern_beta:beta_forest, CREATURE, minecraft:cow, 20, 4, 4
115, forest, modern_beta:beta_forest, CREATURE, minecraft:wolf, 10, 4, 4
116, forest, modern_beta:beta_forest, CREATURE, minecraft:turtle, 10, 2, 5
117, forest, modern_beta:beta_forest, AMBIENT, minecraft:bat, 10, 8, 8
118, forest, modern_beta:beta_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
119, forest, modern_beta:beta_forest, WATER_CREATURE, minecraft:squid, 10, 1, 4
120, ocean, modern_beta:beta_frozen_ocean, MONSTER, minecraft:spider, 60, 4, 4
121, ocean, modern_beta:beta_frozen_ocean, MONSTER, minecraft:zombie, 60, 4, 4
122, ocean, modern_beta:beta_frozen_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
123, ocean, modern_beta:beta_frozen_ocean, MONSTER, minecraft:skeleton, 60, 4, 4
124, ocean, modern_beta:beta_frozen_ocean, MONSTER, minecraft:creeper, 60, 4, 4
125, ocean, modern_beta:beta_frozen_ocean, MONSTER, minecraft:slime, 60, 4, 4
126, ocean, modern_beta:beta_frozen_ocean, MONSTER, minecraft:enderman, 5, 1, 4
127, ocean, modern_beta:beta_frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
128, ocean, modern_beta:beta_frozen_ocean, MONSTER, minecraft:drowned, 10, 1, 1
129, ocean, modern_beta:beta_frozen_ocean, CREATURE, minecraft:polar_bear, 10, 1, 2
130, ocean, modern_beta:beta_frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
131, ocean, modern_beta:beta_frozen_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
132, ocean, modern_beta:beta_frozen_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
133, ocean, modern_beta:beta_frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
134, icy, modern_beta:beta_ice_desert, MONSTER, minecraft:spider, 60, 4, 4
135, icy, modern_beta:beta_ice_desert, MONSTER, minecraft:zombie, 60, 4, 4
136, icy, modern_beta:beta_ice_desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
137, icy, modern_beta:beta_ice_desert, MONSTER, minecraft:skeleton, 20, 4, 4
138, icy, modern_beta:beta_ice_desert, MONSTER, minecraft:creeper, 60, 4, 4
139, icy, modern_beta:beta_ice_desert, MONSTER, minecraft:slime, 60, 4, 4
140, icy, modern_beta:beta_ice_desert, MONSTER, minecraft:enderman, 5, 1, 4
141, icy, modern_beta:beta_ice_desert, MONSTER, minecraft:witch, 5, 1, 1
142, icy, modern_beta:beta_ice_desert, MONSTER, minecraft:stray, 60, 4, 4
143, icy, modern_beta:beta_ice_desert, CREATURE, minecraft:rabbit, 10, 2, 3
144, icy, modern_beta:beta_ice_desert, CREATURE, minecraft:polar_bear, 10, 1, 2
145, icy, modern_beta:beta_ice_desert, CREATURE, minecraft:goat, 10, 4, 6
146, icy, modern_beta:beta_ice_desert, AMBIENT, minecraft:bat, 10, 8, 8
147, icy, modern_beta:beta_ice_desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
148, icy, modern_beta:beta_ice_desert, WATER_CREATURE, minecraft:squid, 10, 1, 4
149, ocean, modern_beta:beta_lukewarm_ocean, MONSTER, minecraft:spider, 60, 4, 4
150, ocean, modern_beta:beta_lukewarm_ocean, MONSTER, minecraft:zombie, 60, 4, 4
151, ocean, modern_beta:beta_lukewarm_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
152, ocean, modern_beta:beta_lukewarm_ocean, MONSTER, minecraft:skeleton, 60, 4, 4
153, ocean, modern_beta:beta_lukewarm_ocean, MONSTER, minecraft:creeper, 60, 4, 4
154, ocean, modern_beta:beta_lukewarm_ocean, MONSTER, minecraft:slime, 60, 4, 4
155, ocean, modern_beta:beta_lukewarm_ocean, MONSTER, minecraft:enderman, 5, 1, 4
156, ocean, modern_beta:beta_lukewarm_ocean, MONSTER, minecraft:witch, 5, 1, 1
157, ocean, modern_beta:beta_lukewarm_ocean, MONSTER, minecraft:drowned, 10, 1, 1
158, ocean, modern_beta:beta_lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
159, ocean, modern_beta:beta_lukewarm_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
160, ocean, modern_beta:beta_lukewarm_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 2
161, ocean, modern_beta:beta_lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
162, ocean, modern_beta:beta_lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
163, ocean, modern_beta:beta_lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 10, 1, 3
164, ocean, modern_beta:beta_lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
165, ocean, modern_beta:beta_ocean, MONSTER, minecraft:spider, 60, 4, 4
166, ocean, modern_beta:beta_ocean, MONSTER, minecraft:zombie, 60, 4, 4
167, ocean, modern_beta:beta_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
168, ocean, modern_beta:beta_ocean, MONSTER, minecraft:skeleton, 60, 4, 4
169, ocean, modern_beta:beta_ocean, MONSTER, minecraft:creeper, 60, 4, 4
170, ocean, modern_beta:beta_ocean, MONSTER, minecraft:slime, 60, 4, 4
171, ocean, modern_beta:beta_ocean, MONSTER, minecraft:enderman, 5, 1, 4
172, ocean, modern_beta:beta_ocean, MONSTER, minecraft:witch, 5, 1, 1
173, ocean, modern_beta:beta_ocean, MONSTER, minecraft:drowned, 10, 1, 1
174, ocean, modern_beta:beta_ocean, AMBIENT, minecraft:bat, 10, 8, 8
175, ocean, modern_beta:beta_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
176, ocean, modern_beta:beta_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
177, ocean, modern_beta:beta_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
178, ocean, modern_beta:beta_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
179, plains, modern_beta:beta_plains, MONSTER, minecraft:spider, 60, 4, 4
160, plains, modern_beta:beta_plains, MONSTER, minecraft:zombie, 60, 4, 4
181, plains, modern_beta:beta_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
182, plains, modern_beta:beta_plains, MONSTER, minecraft:skeleton, 60, 4, 4
183, plains, modern_beta:beta_plains, MONSTER, minecraft:creeper, 60, 4, 4
184, plains, modern_beta:beta_plains, MONSTER, minecraft:slime, 60, 4, 4
185, plains, modern_beta:beta_plains, MONSTER, minecraft:enderman, 5, 1, 4
186, plains, modern_beta:beta_plains, MONSTER, minecraft:witch, 5, 1, 1
187, plains, modern_beta:beta_plains, CREATURE, minecraft:sheep, 20, 4, 4
188, plains, modern_beta:beta_plains, CREATURE, minecraft:pig, 20, 4, 4
189, plains, modern_beta:beta_plains, CREATURE, minecraft:chicken, 20, 4, 4
190, plains, modern_beta:beta_plains, CREATURE, minecraft:cow, 20, 4, 4
191, plains, modern_beta:beta_plains, CREATURE, minecraft:horse, 10, 2, 6
192, plains, modern_beta:beta_plains, CREATURE, minecraft:donkey, 10, 1, 3
193, plains, modern_beta:beta_plains, CREATURE, minecraft:turtle, 10, 2, 5
194, plains, modern_beta:beta_plains, AMBIENT, minecraft:bat, 10, 8, 8
195, plains, modern_beta:beta_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
196, plains, modern_beta:beta_plains, WATER_CREATURE, minecraft:squid, 10, 1, 4
197, jungle, modern_beta:beta_rainforest, MONSTER, minecraft:spider, 60, 4, 4
198, jungle, modern_beta:beta_rainforest, MONSTER, minecraft:zombie, 60, 4, 4
199, jungle, modern_beta:beta_rainforest, MONSTER, minecraft:zombie_villager, 10, 1, 1
200, jungle, modern_beta:beta_rainforest, MONSTER, minecraft:skeleton, 60, 4, 4
201, jungle, modern_beta:beta_rainforest, MONSTER, minecraft:creeper, 60, 4, 4
202, jungle, modern_beta:beta_rainforest, MONSTER, minecraft:slime, 60, 4, 4
203, jungle, modern_beta:beta_rainforest, MONSTER, minecraft:enderman, 5, 1, 4
204, jungle, modern_beta:beta_rainforest, MONSTER, minecraft:witch, 5, 1, 1
205, jungle, modern_beta:beta_rainforest, MONSTER, minecraft:ocelot, 10, 1, 3
206, jungle, modern_beta:beta_rainforest, CREATURE, minecraft:sheep, 20, 4, 4
207, jungle, modern_beta:beta_rainforest, CREATURE, minecraft:pig, 20, 4, 4
208, jungle, modern_beta:beta_rainforest, CREATURE, minecraft:chicken, 20, 4, 4
209, jungle, modern_beta:beta_rainforest, CREATURE, minecraft:cow, 20, 4, 4
210, jungle, modern_beta:beta_rainforest, CREATURE, minecraft:panda, 10, 1, 2
211, jungle, modern_beta:beta_rainforest, CREATURE, minecraft:parrot, 40, 1, 2
212, jungle, modern_beta:beta_rainforest, CREATURE, minecraft:turtle, 10, 2, 5
213, jungle, modern_beta:beta_rainforest, AMBIENT, minecraft:bat, 10, 8, 8
214, jungle, modern_beta:beta_rainforest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
215, jungle, modern_beta:beta_rainforest, WATER_CREATURE, minecraft:squid, 10, 1, 4
216, plains, modern_beta:beta_savanna, MONSTER, minecraft:spider, 60, 4, 4
217, plains, modern_beta:beta_savanna, MONSTER, minecraft:zombie, 60, 4, 4
218, plains, modern_beta:beta_savanna, MONSTER, minecraft:zombie_villager, 10, 1, 1
219, plains, modern_beta:beta_savanna, MONSTER, minecraft:skeleton, 60, 4, 4
220, plains, modern_beta:beta_savanna, MONSTER, minecraft:creeper, 60, 4, 4
221, plains, modern_beta:beta_savanna, MONSTER, minecraft:slime, 60, 4, 4
222, plains, modern_beta:beta_savanna, MONSTER, minecraft:enderman, 5, 1, 4
223, plains, modern_beta:beta_savanna, MONSTER, minecraft:witch, 5, 1, 1
224, plains, modern_beta:beta_savanna, CREATURE, minecraft:sheep, 20, 4, 4
225, plains, modern_beta:beta_savanna, CREATURE, minecraft:pig, 20, 4, 4
226, plains, modern_beta:beta_savanna, CREATURE, minecraft:chicken, 20, 4, 4
227, plains, modern_beta:beta_savanna, CREATURE, minecraft:cow, 20, 4, 4
228, plains, modern_beta:beta_savanna, CREATURE, minecraft:horse, 10, 2, 6
229, plains, modern_beta:beta_savanna, CREATURE, minecraft:donkey, 10, 1, 3
230, plains, modern_beta:beta_savanna, CREATURE, minecraft:turtle, 10, 2, 5
231, plains, modern_beta:beta_savanna, AMBIENT, minecraft:bat, 10, 8, 8
232, plains, modern_beta:beta_savanna, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
233, plains, modern_beta:beta_savanna, WATER_CREATURE, minecraft:squid, 10, 1, 4
234, forest, modern_beta:beta_seasonal_forest, MONSTER, minecraft:spider, 60, 4, 4
235, forest, modern_beta:beta_seasonal_forest, MONSTER, minecraft:zombie, 60, 4, 4
236, forest, modern_beta:beta_seasonal_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
237, forest, modern_beta:beta_seasonal_forest, MONSTER, minecraft:skeleton, 60, 4, 4
238, forest, modern_beta:beta_seasonal_forest, MONSTER, minecraft:creeper, 60, 4, 4
239, forest, modern_beta:beta_seasonal_forest, MONSTER, minecraft:slime, 60, 4, 4
240, forest, modern_beta:beta_seasonal_forest, MONSTER, minecraft:enderman, 5, 1, 4
241, forest, modern_beta:beta_seasonal_forest, MONSTER, minecraft:witch, 5, 1, 1
242, forest, modern_beta:beta_seasonal_forest, CREATURE, minecraft:sheep, 20, 4, 4
243, forest, modern_beta:beta_seasonal_forest, CREATURE, minecraft:pig, 20, 4, 4
244, forest, modern_beta:beta_seasonal_forest, CREATURE, minecraft:chicken, 20, 4, 4
245, forest, modern_beta:beta_seasonal_forest, CREATURE, minecraft:cow, 20, 4, 4
246, forest, modern_beta:beta_seasonal_forest, CREATURE, minecraft:wolf, 10, 4, 4
247, forest, modern_beta:beta_seasonal_forest, CREATURE, minecraft:turtle, 10, 2, 5
248, forest, modern_beta:beta_seasonal_forest, AMBIENT, minecraft:bat, 10, 8, 8
249, forest, modern_beta:beta_seasonal_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
250, forest, modern_beta:beta_seasonal_forest, WATER_CREATURE, minecraft:squid, 10, 1, 4
251, plains, modern_beta:beta_shrubland, MONSTER, minecraft:spider, 60, 4, 4
252, plains, modern_beta:beta_shrubland, MONSTER, minecraft:zombie, 60, 4, 4
253, plains, modern_beta:beta_shrubland, MONSTER, minecraft:zombie_villager, 10, 1, 1
254, plains, modern_beta:beta_shrubland, MONSTER, minecraft:skeleton, 60, 4, 4
255, plains, modern_beta:beta_shrubland, MONSTER, minecraft:creeper, 60, 4, 4
256, plains, modern_beta:beta_shrubland, MONSTER, minecraft:slime, 60, 4, 4
257, plains, modern_beta:beta_shrubland, MONSTER, minecraft:enderman, 5, 1, 4
258, plains, modern_beta:beta_shrubland, MONSTER, minecraft:witch, 5, 1, 1
259, plains, modern_beta:beta_shrubland, CREATURE, minecraft:sheep, 20, 4, 4
260, plains, modern_beta:beta_shrubland, CREATURE, minecraft:pig, 20, 4, 4
261, plains, modern_beta:beta_shrubland, CREATURE, minecraft:chicken, 20, 4, 4
262, plains, modern_beta:beta_shrubland, CREATURE, minecraft:cow, 20, 4, 4
263, plains, modern_beta:beta_shrubland, CREATURE, minecraft:horse, 10, 2, 6
264, plains, modern_beta:beta_shrubland, CREATURE, minecraft:donkey, 10, 1, 3
265, plains, modern_beta:beta_shrubland, CREATURE, minecraft:turtle, 10, 2, 5
266, plains, modern_beta:beta_shrubland, AMBIENT, minecraft:bat, 10, 8, 8
267, plains, modern_beta:beta_shrubland, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
268, plains, modern_beta:beta_shrubland, WATER_CREATURE, minecraft:squid, 10, 1, 4
269, none, modern_beta:beta_sky, MONSTER, minecraft:spider, 60, 4, 4
270, none, modern_beta:beta_sky, MONSTER, minecraft:zombie, 60, 4, 4
271, none, modern_beta:beta_sky, MONSTER, minecraft:zombie_villager, 10, 1, 1
272, none, modern_beta:beta_sky, MONSTER, minecraft:skeleton, 20, 4, 4
273, none, modern_beta:beta_sky, MONSTER, minecraft:creeper, 60, 4, 4
274, none, modern_beta:beta_sky, MONSTER, minecraft:slime, 60, 4, 4
275, none, modern_beta:beta_sky, MONSTER, minecraft:enderman, 5, 1, 4
276, none, modern_beta:beta_sky, MONSTER, minecraft:witch, 5, 1, 1
277, none, modern_beta:beta_sky, CREATURE, minecraft:chicken, 20, 4, 4
278, swamp, modern_beta:beta_swampland, MONSTER, minecraft:spider, 60, 4, 4
279, swamp, modern_beta:beta_swampland, MONSTER, minecraft:zombie, 60, 4, 4
260, swamp, modern_beta:beta_swampland, MONSTER, minecraft:zombie_villager, 10, 1, 1
281, swamp, modern_beta:beta_swampland, MONSTER, minecraft:skeleton, 60, 4, 4
282, swamp, modern_beta:beta_swampland, MONSTER, minecraft:creeper, 60, 4, 4
283, swamp, modern_beta:beta_swampland, MONSTER, minecraft:slime, 60, 4, 4
284, swamp, modern_beta:beta_swampland, MONSTER, minecraft:enderman, 5, 1, 4
285, swamp, modern_beta:beta_swampland, MONSTER, minecraft:witch, 5, 1, 1
286, swamp, modern_beta:beta_swampland, MONSTER, minecraft:slime, 10, 1, 1
287, swamp, modern_beta:beta_swampland, CREATURE, minecraft:sheep, 20, 4, 4
288, swamp, modern_beta:beta_swampland, CREATURE, minecraft:pig, 20, 4, 4
289, swamp, modern_beta:beta_swampland, CREATURE, minecraft:chicken, 20, 4, 4
290, swamp, modern_beta:beta_swampland, CREATURE, minecraft:cow, 20, 4, 4
291, swamp, modern_beta:beta_swampland, CREATURE, minecraft:frog, 10, 2, 5
292, swamp, modern_beta:beta_swampland, CREATURE, minecraft:turtle, 10, 2, 5
293, swamp, modern_beta:beta_swampland, AMBIENT, minecraft:bat, 10, 8, 8
294, swamp, modern_beta:beta_swampland, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
295, swamp, modern_beta:beta_swampland, WATER_CREATURE, minecraft:squid, 10, 1, 4
296, taiga, modern_beta:beta_taiga, MONSTER, minecraft:spider, 60, 4, 4
297, taiga, modern_beta:beta_taiga, MONSTER, minecraft:zombie, 60, 4, 4
298, taiga, modern_beta:beta_taiga, MONSTER, minecraft:zombie_villager, 10, 1, 1
299, taiga, modern_beta:beta_taiga, MONSTER, minecraft:skeleton, 60, 4, 4
300, taiga, modern_beta:beta_taiga, MONSTER, minecraft:creeper, 60, 4, 4
301, taiga, modern_beta:beta_taiga, MONSTER, minecraft:slime, 60, 4, 4
302, taiga, modern_beta:beta_taiga, MONSTER, minecraft:enderman, 5, 1, 4
303, taiga, modern_beta:beta_taiga, MONSTER, minecraft:witch, 5, 1, 1
304, taiga, modern_beta:beta_taiga, CREATURE, minecraft:sheep, 20, 4, 4
305, taiga, modern_beta:beta_taiga, CREATURE, minecraft:pig, 20, 4, 4
306, taiga, modern_beta:beta_taiga, CREATURE, minecraft:chicken, 20, 4, 4
307, taiga, modern_beta:beta_taiga, CREATURE, minecraft:cow, 20, 4, 4
308, taiga, modern_beta:beta_taiga, CREATURE, minecraft:wolf, 10, 4, 4
309, taiga, modern_beta:beta_taiga, CREATURE, minecraft:rabbit, 10, 2, 3
310, taiga, modern_beta:beta_taiga, CREATURE, minecraft:llama, 10, 4, 6
311, taiga, modern_beta:beta_taiga, CREATURE, minecraft:fox, 10, 2, 4
312, taiga, modern_beta:beta_taiga, AMBIENT, minecraft:bat, 10, 8, 8
313, taiga, modern_beta:beta_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
314, taiga, modern_beta:beta_taiga, WATER_CREATURE, minecraft:squid, 10, 1, 4
315, icy, modern_beta:beta_tundra, MONSTER, minecraft:spider, 60, 4, 4
316, icy, modern_beta:beta_tundra, MONSTER, minecraft:zombie, 60, 4, 4
