1, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
29, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
30, modern_beta:indev_stronghold, HEADING, header:ignore, 0, 0, 0
31, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
32, betterjungletemples:jungle_temple, HEADING, header:ignore, 0, 0, 0
33, aether:large_aercloud, HEADING, header:ignore, 0, 0, 0
34, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
35, betterend:megalake, HEADING, header:ignore, 0, 0, 0
36, betterend:megalake_small, HEADING, header:ignore, 0, 0, 0
37, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
38, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
39, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
40, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
41, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
42, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
43, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
44, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
45, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
46, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
47, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
48, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
49, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
50, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
51, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
52, minecraft:monument, HEADING, header:ignore, 0, 0, 0
53, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
54, betterend:mountain, HEADING, header:ignore, 0, 0, 0
55, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
56, betteroceanmonuments:ocean_monument, HEADING, header:ignore, 0, 0, 0
57, betteroceanmonuments:ocean_monument, MONSTER, minecraft:guardian, 10, 2, 4
58, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
59, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
60, betterend:painted_mountain, HEADING, header:ignore, 0, 0, 0
61, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
62, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 10, 1, 1
63, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
64, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
65, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
66, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
67, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
68, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
69, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
70, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
71, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
72, aether:silver_dungeon, HEADING, header:ignore, 0, 0, 0
73, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
74, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
75, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
76, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
77, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
78, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
79, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
80, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
81, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
82, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
83, minecraft:swamp_hut, MONSTER, minecraft:witch, 10, 1, 1
84, minecraft:swamp_hut, CREATURE, minecraft:cat, 10, 1, 1
85, minecraft:trail_ruins, HEADING, header:ignore, 0, 0, 0
86, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
87, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
88, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
89, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
90, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
91, betterwitchhuts:witch_circle, HEADING, header:ignore, 0, 0, 0
92, betterwitchhuts:witch_circle, MONSTER, minecraft:witch, 10, 1, 1
93, betterwitchhuts:witch_circle, CREATURE, minecraft:cat, 10, 1, 1
94, betterwitchhuts:witch_hut, HEADING, header:ignore, 0, 0, 0
95, betterwitchhuts:witch_hut, MONSTER, minecraft:witch, 10, 1, 1
96, betterwitchhuts:witch_hut, CREATURE, minecraft:cat, 10, 1, 1
97, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
98, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
